country,release_year,duration(min),collection,value
United States,2020,90+,comedy,29
United States,2020,100+,comedy,31
United States,2020,80+,comedy,15
United States,2020,120+,comedy,31
United States,2020,110+,comedy,17
United States,2020,<80,comedy,4
United States,2020,<80,drama,24
United States,2020,80+,drama,21
United States,2020,90+,drama,34
United States,2020,100+,drama,35
United States,2020,120+,drama,25
United States,2020,110+,drama,24
United States,2020,90+,documentary,25
United States,2020,120+,documentary,9
United States,2020,100+,documentary,11
United States,2020,110+,documentary,6
United States,2020,<80,documentary,8
United States,2020,80+,documentary,6
United States,2020,80+,Children & Family movies,6
United States,2020,<80,Children & Family movies,1
United States,2020,120+,Children & Family movies,8
United States,2020,110+,Children & Family movies,3
United States,2020,90+,Children & Family movies,16
United States,2020,100+,Children & Family movies,5
United States,2020,100+,Action & Adventure,1
United States,2020,80+,Action & Adventure,3
United States,2020,110+,Action & Adventure,1
United States,2020,90+,Action & Adventure,2
United States,2020,<80,Action & Adventure,30
United States,2019,<80,comedy,4
United States,2019,90+,comedy,15
United States,2019,110+,comedy,14
United States,2019,120+,comedy,13
United States,2019,80+,comedy,4
United States,2019,100+,comedy,16
United States,2019,<80,drama,14
United States,2019,90+,drama,28
United States,2019,80+,drama,11
United States,2019,120+,drama,11
United States,2019,100+,drama,15
United States,2019,110+,drama,12
United States,2019,80+,documentary,7
United States,2019,120+,documentary,7
United States,2019,100+,documentary,6
United States,2019,110+,documentary,5
United States,2019,90+,documentary,4
United States,2019,<80,documentary,2
United States,2019,100+,Children & Family movies,4
United States,2019,120+,Children & Family movies,6
United States,2019,90+,Children & Family movies,11
United States,2019,<80,Children & Family movies,1
United States,2019,80+,Children & Family movies,3
United States,2019,110+,Children & Family movies,1
United States,2019,100+,Action & Adventure,1
United States,2019,80+,Action & Adventure,2
United States,2019,<80,Action & Adventure,6
United States,2018,100+,comedy,14
United States,2018,90+,comedy,14
United States,2018,80+,comedy,7
United States,2018,<80,comedy,1
United States,2018,120+,comedy,10
United States,2018,110+,comedy,3
United States,2018,90+,drama,19
United States,2018,80+,drama,11
United States,2018,120+,drama,9
